country_txt,alpha_3_code,iyear,latitude,longitude,DistributionAddress,num_killed,num_attacked,csn_adults,csn_seniors
Harlem Community Nutritional Service Agency,80596,2000,40.8082615,-73.9472409,132 West 125th Street,1125,1001,87,37
Harlem Community Nutritional Service Agency,80596,2002,40.8082615,-73.9472409,132 West 125th Street,16962,8373,6449,2140
Harlem Community Nutritional Service Agency,80596,2003,40.8082615,-73.9472409,132 West 125th Street,14960,7953,6260,747
Harlem Community Nutritional Service Agency,80596,2004,40.8082615,-73.9472409,132 West 125th Street,8602,2416,5150,1036
Harlem Community Nutritional Service Agency,80596,2005,40.8082615,-73.9472409,132 West 125th Street,2052,621,1043,388
Harlem Community Nutritional Service Agency,80596,2006,40.8082615,-73.9472409,132 West 125th Street,4902,2224,2267,411
Harlem Community Nutritional Service Agency,80596,2007,40.8082615,-73.9472409,132 West 125th Street,30909,26251,3938,720
Harlem Community Nutritional Service Agency,80596,2008,40.8082615,-73.9472409,132 West 125th Street,75693,38470,35862,1361
Harlem Community Nutritional Service Agency,80596,2009,40.8082615,-73.9472409,132 West 125th Street,20174,11441,6165,2568
Harlem Community Nutritional Service Agency,80596,2010,40.8082615,-73.9472409,132 West 125th Street,22691,13181,5749,3761
Harlem Community Nutritional Service Agency,80596,2011,40.8082615,-73.9472409,132 West 125th Street,28297,16321,7105,4871
Harlem Community Nutritional Service Agency,80596,2012,40.8082615,-73.9472409,132 West 125th Street,35232,18396,9304,7532
Harlem Community Nutritional Service Agency,80596,2013,40.8082615,-73.9472409,132 West 125th Street,45369,24096,12210,9063
Harlem Community Nutritional Service Agency,80596,2014,40.8082615,-73.9472409,132 West 125th Street,49095,28150,12842,8103
Harlem Community Nutritional Service Agency,80596,2015,40.8082615,-73.9472409,132 West 125th Street,47682,21705,15080,10897
Harlem Community Nutritional Service Agency,80596,2016,40.8082615,-73.9472409,132 West 125th Street,23232,9339,8836,5057
Harlem Community Nutritional Service Agency,80596,2017,40.8082615,-73.9472409,132 West 125th Street,18724,7340,6959,4425
"El Amanecer De La Esperanza Ministry, Inc.",82359,2001,40.8329413,-73.8681175,1769 East 172nd Street,20775,8419,10730,1626
"El Amanecer De La Esperanza Ministry, Inc.",82359,2002,40.8329413,-73.8681175,1769 East 172nd Street,25166,9707,12811,2648
"El Amanecer De La Esperanza Ministry, Inc.",82359,2003,40.8329413,-73.8681175,1769 East 172nd Street,32869,12856,16390,3623
"El Amanecer De La Esperanza Ministry, Inc.",82359,2004,40.8329413,-73.8681175,1769 East 172nd Street,35023,14108,17125,3790
"El Amanecer De La Esperanza Ministry, Inc.",82359,2005,40.8329413,-73.8681175,1769 East 172nd Street,34650,14411,15645,4594
"El Amanecer De La Esperanza Ministry, Inc.",82359,2006,40.8329413,-73.8681175,1769 East 172nd Street,33598,14132,14956,4510
"El Amanecer De La Esperanza Ministry, Inc.",82359,2007,40.8329413,-73.8681175,1769 East 172nd Street,35282,14957,16603,3722
"El Amanecer De La Esperanza Ministry, Inc.",82359,2008,40.8329413,-73.8681175,1769 East 172nd Street,44301,18296,20140,5865
"El Amanecer De La Esperanza Ministry, Inc.",82359,2009,40.8329413,-73.8681175,1769 East 172nd Street,47661,19363,22834,5464
"El Amanecer De La Esperanza Ministry, Inc.",82359,2010,40.8329413,-73.8681175,1769 East 172nd Street,42297,16938,21236,4123
"El Amanecer De La Esperanza Ministry, Inc.",82359,2011,40.8329413,-73.8681175,1769 East 172nd Street,42896,16284,21636,4976
"El Amanecer De La Esperanza Ministry, Inc.",82359,2012,40.8329413,-73.8681175,1769 East 172nd Street,38369,14455,18293,5621
"El Amanecer De La Esperanza Ministry, Inc.",82359,2013,40.8329413,-73.8681175,1769 East 172nd Street,36270,14263,17705,4302
"El Amanecer De La Esperanza Ministry, Inc.",82359,2014,40.8329413,-73.8681175,1769 East 172nd Street,36826,15084,19808,1934
"El Amanecer De La Esperanza Ministry, Inc.",82359,2015,40.8329413,-73.8681175,1769 East 172nd Street,31331,12958,17137,1236
"El Amanecer De La Esperanza Ministry, Inc.",82359,2016,40.8329413,-73.8681175,1769 East 172nd Street,29702,11786,16631,1285
"El Amanecer De La Esperanza Ministry, Inc.",82359,2017,40.8329413,-73.8681175,1769 East 172nd Street,25305,9838,14311,1156
Passion Ablaze Christian Ministries,85154,2001,40.847464,-73.895427,4228 3rd Avenue,6885,3060,2295,1530
