iyear,num_killed,num_attacked,total_served
2000,1,1125,1125
2002,1134,12515901,49742
2003,1399,20942387,12565643
2004,1424,23907856,33508030
2005,1391,24201660,57415886
2006,1445,26668923,81617546
2007,1475,25592586,108286469
2008,1401,26306353,133879055
2009,1413,28345267,160185408
2010,1363,27662481,188530675
2011,1228,27182898,216193156
2012,1111,27272657,243376054
2013,1050,26796557,270648711
2014,1064,26643932,297445268
2015,1081,26904368,324089200
2016,1037,26393373,350993568
2017,979,20096260,377386941
2001,9,48617,397483201
