iyear,num_killed,num_attacks
2000,1125,1001
2001,1558,623
2001,1521,634
2001,1549,608
2001,1636,671
2001,8645,3764
2001,1750,662
2001,1067,412
2001,1115,382
2001,16004,744
2001,3947,1146
2001,3118,1332
2001,6707,4150
2002,47678,8193
2002,46592,8931
2002,64078,14225
2002,1146258,344432
2002,1211218,324109
2002,1094215,283990
2002,1472940,371615
2002,1357218,362123
2002,1478606,462439
2002,1685558,463367
2002,1476119,393484
2002,1435421,395437
2003,1560107,420050
2003,1401195,383231
2003,1634988,439439
2003,1591751,439370
2003,1681317,468370
2003,1625167,452001
2003,1803933,460559
2003,1836615,442238
2003,1977586,494897
2003,2121216,535430
2003,1898134,487997
2003,1810378,439053
2004,1714511,435637
2004,1840869,456054
2004,2092697,534468
2004,2029313,538132
2004,2036938,505082
2004,2123223,560436
2004,1984938,489354
2004,1984072,480800
2004,1991638,503889
2004,2025085,488515
2004,2097301,553885
2004,1987271,485817
2005,1956890,477681
2005,1868990,484767
2005,2068029,526816
2005,2071565,547487
2005,2033035,538356
2005,2036252,537060
2005,1895295,476292
2005,1988235,496173
2005,2064761,540369
2005,2109953,525250
2005,2118129,544781
2005,1990526,502428
2006,2162955,516362
2006,2057635,499097
2006,2327868,573563
2006,2394019,635224
2006,2353792,597675
2006,2306262,574729
2006,2022863,485840
2006,2096578,499817
2006,2209525,547566
2006,2377923,556910
2006,2231868,578357
2006,2127635,490189
2007,2135585,523168
2007,1989652,468951
2007,2196463,554436
2007,2179940,541491
2007,2289382,610786
2007,2241326,586763
2007,2057024,480245
2007,1970237,450569
2007,2058257,487604
2007,2215640,530279
2007,2229242,545611
2007,2029838,486376
2008,2157730,507590
2008,1992869,463669
2008,2175331,516387
2008,2241429,559364
2008,2310796,537007
2008,2178100,527926
2008,2117488,472059
2008,2045375,465232
2008,2243401,534285
2008,2445550,567231
2008,2234266,545342
2008,2164018,551234
2009,2193048,529645
2009,2180394,542219
2009,2379598,579757
2009,2540582,660014
2009,2461457,618797
2009,2393494,629739
2009,2288141,610627
2009,2108741,511119
2009,2355640,630546
2009,2637870,693768
2009,2470767,654185
2009,2335535,602753
2010,2297612,578131
2010,2029078,504699
2010,2503612,653849
2010,2400131,628754
2010,2390961,666142
2010,2419255,617670
2010,2203069,545112
2010,2168496,534368
2010,2392105,594383
2010,2387433,595755
2010,2341001,623973
2010,2129728,557888
2011,2029379,505983
2011,2075222,537608
2011,2443560,618256
2011,2392790,634959
2011,2387215,619250
2011,2401106,618966
2011,2118896,517945
2011,1974948,455187
2011,2214400,570792
2011,2288235,562363
2011,2323162,603521
2011,2533985,608007
2012,2243471,572544
2012,2283750,584971
2012,2566345,686617
2012,2365467,607897
2012,2329125,609548
2012,2288458,618011
2012,2113324,462290
2012,2127627,479984
2012,2193337,541170
2012,2215706,531818
2012,2331559,609766
2012,2214488,586747
2013,2220329,568685
2013,2114832,528616
2013,2317854,613097
2013,2407643,685519
2013,2511948,683073
2013,2290973,609195
2013,2087936,504164
2013,2061659,522524
2013,2178403,557218
2013,2339494,617767
2013,2248639,609902
2013,2016847,559175
2014,1916886,506705
2014,1864395,481016
2014,2183765,573948
2014,2368405,676645
2014,2286421,589711
2014,2240556,597761
2014,2175229,537322
2014,2141844,562483
2014,2257543,594538
2014,2528759,717278
2014,2393791,681384
2014,2286338,632041
2015,2030368,545456
2015,1992500,510684
2015,2333337,653783
2015,2279497,633152
2015,2346365,652260
2015,2348862,613463
2015,2174150,543703
2015,2147440,549421
2015,2214339,579461
2015,2431783,676293
2015,2366429,660261
2015,2239298,614577
2016,2099028,516188
2016,2054492,537853
2016,2239976,602124
2016,2397132,695798
2016,2423479,690185
2016,2376052,654141
2016,2045360,541639
2016,2043389,534516
2016,2248228,639824
2016,2217082,632912
2016,2255878,663940
2016,1993277,611458
2017,1991203,611286
2017,1867391,524077
2017,2052054,578145
2017,2152646,654551
2017,2199081,682498
2017,2116431,607958
2017,1822001,516618
2017,1899730,516091
2017,2025821,621021
2017,1922385,553898
2017,43680,13550
2017,3837,405
